Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
319,1120,1.12,SENSOR,2,1149,IMU_1,0.0146484375,-0.0009765625,-1.0361328125,0.7407407407407408,0.0617283950617284,-0.2777777777777778
320,1120,1.12,SENSOR,2,1149,IMU_2,0.009765625,0.001953125,-0.98828125,0.617283950617284,0.0925925925925926,-0.8950617283950618
322,1120,1.12,SENSOR,3,1159,IMU_1,-0.001953125,0.0078125,-0.99609375,-0.2469135802469136,-0.3395061728395062,0.0
323,1120,1.12,SENSOR,3,1159,IMU_2,0.009765625,0.001953125,-1.0244140625,-0.0925925925925926,-0.0925925925925926,0.0308641975308642
326,1130,1.13,SENSOR,1,1159,IMU_1,-0.02734375,-0.0234375,-0.984375,0.617283950617284,0.2469135802469136,-0.2469135802469136
327,1130,1.13,SENSOR,1,1159,IMU_2,-0.0244140625,-0.0087890625,-1.048828125,-0.2160493827160494,-0.154320987654321,-0.3703703703703704
329,1130,1.13,SENSOR,2,1159,IMU_1,0.013671875,-0.0009765625,-1.037109375,0.7098765432098766,0.0617283950617284,-0.2777777777777778
330,1130,1.13,SENSOR,2,1159,IMU_2,0.0107421875,0.0009765625,-0.9873046875,0.617283950617284,0.0925925925925926,-0.8950617283950618
332,1130,1.13,SENSOR,3,1169,IMU_1,-0.0009765625,0.009765625,-0.9951171875,-0.2469135802469136,-0.3703703703703704,0.0
333,1130,1.13,SENSOR,3,1169,IMU_2,0.0107421875,0.0029296875,-1.02734375,-0.1234567901234568,-0.1234567901234568,0.0308641975308642
336,1140,1.14,SENSOR,1,1169,IMU_1,-0.025390625,-0.0244140625,-0.9853515625,0.617283950617284,0.2777777777777778,-0.2469135802469136
337,1140,1.14,SENSOR,1,1169,IMU_2,-0.0224609375,-0.0087890625,-1.048828125,-0.2160493827160494,-0.154320987654321,-0.3703703703703704
339,1140,1.14,SENSOR,2,1169,IMU_1,0.0146484375,0.0009765625,-1.037109375,0.7098765432098766,0.0617283950617284,-0.308641975308642
340,1140,1.14,SENSOR,2,1169,IMU_2,0.0107421875,0.001953125,-0.9873046875,0.617283950617284,0.0617283950617284,-0.8950617283950618
342,1140,1.14,SENSOR,3,1179,IMU_1,-0.0029296875,0.0068359375,-0.9951171875,-0.2160493827160494,-0.3703703703703704,0.0
343,1140,1.14,SENSOR,3,1179,IMU_2,0.009765625,0.0009765625,-1.02734375,-0.1234567901234568,-0.0925925925925926,0.0308641975308642
346,1150,1.15,SENSOR,1,1179,IMU_1,-0.0263671875,-0.0244140625,-0.986328125,0.617283950617284,0.2469135802469136,-0.2469135802469136
347,1150,1.15,SENSOR,1,1179,IMU_2,-0.0224609375,-0.0087890625,-1.048828125,-0.2160493827160494,-0.154320987654321,-0.3703703703703704
349,1150,1.15,SENSOR,2,1179,IMU_1,0.0126953125,0.0,-1.0380859375,0.7407407407407408,0.0617283950617284,-0.2777777777777778
350,1150,1.15,SENSOR,2,1179,IMU_2,0.0107421875,0.001953125,-0.9892578125,0.617283950617284,0.0617283950617284,-0.8950617283950618
352,1150,1.15,SENSOR,3,1189,IMU_1,-0.001953125,0.0078125,-0.9951171875,-0.2160493827160494,-0.3395061728395062,0.0308641975308642
353,1150,1.15,SENSOR,3,1189,IMU_2,0.0107421875,0.001953125,-1.0263671875,-0.0925925925925926,-0.0925925925925926,0.0308641975308642
356,1160,1.16,SENSOR,1,1189,IMU_1,-0.0244140625,-0.0244140625,-0.9853515625,0.617283950617284,0.2160493827160494,-0.2469135802469136
357,1160,1.16,SENSOR,1,1189,IMU_2,-0.021484375,-0.0087890625,-1.0478515625,-0.2160493827160494,-0.154320987654321,-0.3395061728395062
359,1160,1.16,SENSOR,2,1189,IMU_1,0.01171875,0.0,-1.037109375,0.7098765432098766,0.0617283950617284,-0.2777777777777778
360,1160,1.16,SENSOR,2,1189,IMU_2,0.0087890625,0.0029296875,-0.990234375,0.617283950617284,0.0617283950617284,-0.8950617283950618
362,1160,1.16,SENSOR,3,1199,IMU_1,-0.0029296875,0.0068359375,-0.9951171875,-0.2469135802469136,-0.3395061728395062,0.0308641975308642
363,1160,1.16,SENSOR,3,1199,IMU_2,0.0087890625,0.001953125,-1.0263671875,-0.0925925925925926,-0.0925925925925926,0.0308641975308642
366,1170,1.17,SENSOR,1,1199,IMU_1,-0.025390625,-0.0244140625,-0.9873046875,0.617283950617284,0.2469135802469136,-0.2160493827160494
367,1170,1.17,SENSOR,1,1199,IMU_2,-0.0224609375,-0.0068359375,-1.048828125,-0.2160493827160494,-0.154320987654321,-0.3395061728395062
369,1170,1.17,SENSOR,2,1199,IMU_1,0.013671875,-0.0009765625,-1.03515625,0.7098765432098766,0.0617283950617284,-0.2777777777777778
370,1170,1.17,SENSOR,2,1199,IMU_2,0.0087890625,0.001953125,-0.9892578125,0.617283950617284,0.0617283950617284,-0.8950617283950618
372,1170,1.17,SENSOR,3,1209,IMU_1,-0.0009765625,0.0068359375,-0.9951171875,-0.2469135802469136,-0.3395061728395062,0.0
373,1170,1.17,SENSOR,3,1209,IMU_2,0.009765625,0.0009765625,-1.02734375,-0.0925925925925926,-0.0925925925925926,0.0308641975308642
376,1180,1.18,SENSOR,1,1209,IMU_1,-0.025390625,-0.025390625,-0.984375,0.617283950617284,0.2160493827160494,-0.2469135802469136
377,1180,1.18,SENSOR,1,1209,IMU_2,-0.021484375,-0.0068359375,-1.0478515625,-0.2160493827160494,-0.154320987654321,-0.3395061728395062
