Timestamp;Log Entry Type;Data
2022;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,1008205824
2032;1;3,1484835327,-987234304,131072
2032;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,1008205824
2042;1;3,1484835327,-987234304,131072
2042;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,1008205824
2052;1;3,1484835327,-986906624,131072
2052;1;3,2-1073283072,-1073414144,-988086144,-1071251456,4063424,524352,1008205824
2062;1;3,1484835327,-986906624,131072
2062;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2072;1;3,1484835327,-986578944,131072
2072;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2082;1;3,1484835327,-986578944,131072
2082;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2092;1;3,1484835327,-986251264,131072
2092;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2102;1;3,1484835327,-986251264,131072
2102;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2112;1;3,1484835327,-985923584,131072
2112;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2122;1;3,1484835327,-985923584,131072
2122;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2132;1;3,1484835327,-989790208,131136
2132;1;3,2-1073283072,1074135040,-986775424,2555904,4063424,524352,1008205824
2142;1;3,1484835327,-989790208,3221291072
2142;1;3,2-1073283072,458752,-989659008,1076297728,4063424,524352,1008205888
2152;1;3,1484835327,-989462528,3221291072
2152;1;3,2-1073283072,458752,-989659008,1076297728,4063424,524352,1008205888
2162;1;3,1484835327,-989462528,3221291072
2162;1;3,2-1073283072,458752,-989659008,1076297728,4063424,524352,1008205888
2172;1;3,1484835327,-989134848,3221291072
2172;1;3,2-1073283072,458752,-989659008,1076297728,4063424,524352,1008205888
2182;1;3,1484835327,-989134848,3221291072
2182;1;3,2-1073283072,458752,-989659008,1076297728,4063424,524352,1008205888
2192;1;3,1484835327,-988807168,3221291072
